Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
My job as a police officer causes the most stress.,You never know what call you are going to next.,Money,Making sure there is enough to make ends meet and having money to enjoy life.,Marriage,Every marriage has stressors involved.,I work in the garage to decompress away from everyone else.,I go to an r/c track and race cars to relieve stress.,I drink beer on occasion to relieve stress.
Financial issues,Running out of money ad then the bills come.,House repairs,Something breaks in the home.,Health issues in the family,"Illness, hospitalization, and death.",I close my eyes and breathe slowly.,I listen to music,I watch some TV.
death of loved ones,death of loved ones who are deeply attached with us,loss of job,sudden loss of our job will give us great stress,chronic illness,chronic illness will lead to mental stress,adopt it as a major life change,avoid uncessary conflicts at work,by adopting a healthy lifestyle
wife wastes money on useless items,She spends money online constantly.,Moms habits,"My moms refuses to exercise and can barely walk a few feet without getting tired,",My brother,My brother always calls me asking for money and refuses to better himself.,Go for a walk outside and sometimes voice my opinion,Remind myself she is a grown up and will do whatever she wants,I don't answer my phone most of the time
College,"The amount of exams, assignments, and reading I have to do makes it difficult to find time to relax.",Money,"Paying for unexpected bills, replacing things, etc. ",Poor work ethic,"I can be very lazy/procrastinate a lot, which creates a huge amount of stress with school, keeping my apartment clean, etc.,",I carve out a day a week to relax and read and not talk to anyone,I try to make sure I have a enough savings,I try to more organized and productive by making lists of what I have to do each day and not letting myself relax until I'm finished.
Work,Its overwhelming at times,Family,Too many obligations,Life,Can be stressful,Walking,Sleeping,Bath
Future Needs,I worry about my future needs. It makes me feel stressed.,Loans,"I have a home loan to be paid every month.When the economic situations get bad, i feel stressed.",Work Targets,My work in a company involves a lot of stress as i had do complete many tarkets,Listening to music.,Hanging around with friends.,Visiting a Theater.
money,always need mkre to be where i want to be in life,daughter,"she is 17 months old, it's stressful",my own head,lots of thoughts,drink alcohol,collect cool things to look at,be with friends and family
Heavy work,When have more works.,Restless ,More work get stress.,Avoiding someone,Very close person avoid me I feel restless.,Listening music,Reading funny books,Spending time with friends
"Americans say they fight with friends and loved ... of U.S. workers admit to experiencing office stress, and one-quarter ..",you more aware of things around you and keep you more focused. In some cases stress can give you strength and help you get more done. ..,"Employers should provide a stress-free work environment, recognise where ... See the separate article on workplace wellbeing for a detailed explanation ",When you are speaking English the words you stress can change the underlying meaning of a sentence. Let's take a look at the following .,"Stress occurs when you perceive that demands placed on you — such as work, ... Some stress can be beneficial at times, producing a boost that provides the drive ","Controlling stress is an active process which means that you will have to take ... Try to eat a well balanced diet, eating at least three regular meals a day.","Unfortunately there is no magic wand that will remove the impact of stress on your ... However, there are some very simple","At times it may seem that there's nothing you can do about stress and indeed ... Unfortunately, while these strategies can give some short-term","You can assess your levels of daytime sleepiness with the Epworth Sleepiness ... Give each stressful episode a stress rating (on, say, a 1-10 scale) and use the ..."
kids,Always worried about them.,bills,I'm unemployed at the moment. ,boyfriend,He's aways thinking i'mdoing things that i'm don't need to be doing.,smoke a little herb.,I go take a walk alone.,Go anywhere to be alone.
Work,"When a driver did not pick up or delivery the merchandise on time or when for any reason a truck couldn´t cross the border, you have a lot of pressure on you but sometimes there is nothing you can do.",Buy a house,"We are thinking in buying a house, we love the city and want an urban house but it is very expensive.",Climate change / global warming. ,What is going to happens if we don't anything about it?,breathing deeper and be aware that sometimes it there is nothing you can do.,Thinking that we have other priorities,buy and use eco-friendly items
